sentence,np,vp,ner_rich
"International Journal of Recent Technology and Engineering (IJRTE)
","['International Journal Recent Technology Engineering', 'IJRTE']
","[] 
",0
"ISSN: 2277-3878, Volume-7, Issue-5C, February 2019
","['ISSN', 'Volume-7', 'Issue-5C', 'February']
","[] 
",0
"199
","[]
","[] 
",0
"Published By:  Blue Eyes Intelligence Engineering
","['Blue Eyes Intelligence Engineering']
","['Published'] 
",0
"& Sciences Publication  Retrieval Number: E10480275C19/19©BEIESP
","['Publication Retrieval Number', 'E10480275C19/19©BEIESP']
","[] 
",0
"Abstract--- Natural Language Processing (NLP) is a
","['Abstract', 'Natural Language Processing', 'NLP']
","[] 
",0
"subfield of Artificial Intelligence and getting lot of focus on
","['Artificial Intelligence', 'lot focus']
","['subfield', 'getting'] 
",1
"research and development due to emergence of its
","['research development', 'due emergence']
","[] 
",0
"applications.
","['applications']
","[] 
",0
"The research areas in focus are conversation
","['The research areas', 'conversation']
","['focus'] 
",0
"systems, Language processing, Machine Translation, Deep
","['systems', 'Language processing', 'Machine Translation', 'Deep']
","[] 
",0
"learning.
","['learning']
","[] 
",0
"The researches in these areas lead to development of
","['The researches areas', 'development']
","['lead'] 
",0
"many tools to build industrial applications.
","['many tools', 'industrial applications']
","['build'] 
",0
"Combining Deep
","['Deep']
","['Combining'] 
",0
"Learning techniques with Natural Language Processing is
","['techniques Natural Language Processing']
","['Learning'] 
",0
"finding lot of applications in domains such as Healthcare,
","['lot applications domains Healthcare']
","['finding'] 
",0
"Finance, Manufacturing, Education, Retail and customer
","['Finance', 'Manufacturing', 'Education', 'Retail customer']
","[] 
",0
"service.
","['service']
","[] 
",0
"This paper provides bird’s view of advancement in
","['This paper', 'bird ’ view advancement']
","['provides'] 
",0
"research, development and application areas of Natural
","['research', 'development application areas Natural']
","[] 
",0
"Language Processing.
","['Language Processing']
","[] 
",0
"This paper captures21research focus
","['This paper captures21research focus']
","[] 
",0
"areas, 22 development tools and 6 domains where Natural
","['areas', 'development tools', 'domains']
","[] 
",0
"Language Processing are making rapid advancements.
","['Language', 'rapid advancements']
","['Processing making'] 
",0
"Key terms used in this text: NLP, Natural Language
","['Key terms', 'text', 'NLP', 'Natural Language']
","['used'] 
",0
"Processing, Deep Learning, Sentiment Analysis, Question
","['Processing', 'Deep Learning', 'Sentiment Analysis', 'Question']
","[] 
",0
"Answering, Dialogue Systems, Parsing, Named-Entity
","['Answering', 'Dialogue', 'Parsing', 'Named-Entity']
","[] 
",0
"Recognition, POS Tagging, Chatbots, Human-Computer-
","['Recognition', 'POS Tagging', 'Chatbots', 'Human-Computer-']
","[] 
",0
"Interface.
","['Interface']
","[] 
",0
"I.
","[]
","[] 
",0
"INTRODUCTION
","['INTRODUCTION']
","[] 
",0
"Natural Language processing (NLP) is a subfield of
","['Natural Language processing', 'NLP']
","['subfield'] 
",0
"artificial intelligence dealing with computational
","['artificial intelligence']
","['dealing'] 
",0
"algorithms to automatically represent and process various
","['algorithms', 'process']
","['automatically represent'] 
",0
"forms of human (natural) language inputs and
","['forms', 'language inputs']
","['human'] 
",0
"communicate with Human-Computer-Interface (HCI).
","['communicate Human-Computer-Interface', 'HCI']
","[] 
",0
"It
","[]
","[] 
",0
"is also known by a name “Computational Linguistics”.
","['name “ Computational Linguistics ”']
","['also known'] 
",0
"Natural Language Processing involves following
","['Natural Language Processing']
","['involves following'] 
",0
"stages of processing namely, lexical (structure) analysis,
","['stages', 'structure', 'analysis']
","['processing'] 
",0
"parsing, semantic analysis, discourse integration, and
","['parsing', 'semantic analysis', 'discourse integration']
","[] 
",0
"pragmatic analysis.
","['pragmatic analysis']
","[] 
",0
"Some well-known application areas
","['Some well-known application areas']
","[] 
",0
"of NLP are Speech Recognition, Optical Character
","['NLP Speech Recognition', 'Optical Character']
","[] 
",0
"Recognition (OCR), Machine Translation, and Chatbots.
","['Recognition', 'OCR', 'Machine Translation', 'Chatbots']
","[] 
",0
"Recently, Machine Learning algorithms are used to
","['Machine Learning algorithms']
","['used'] 
",0
"process Natural Language input by studying millions of
","['process Natural Language', 'millions']
","['input studying'] 
",0
"examples of text — words, sentences, and paragraphs —
","['examples', '— words', 'sentences', 'paragraphs —']
","['text'] 
",0
"written by humans.
","['humans']
","['written'] 
",0
"By studying these samples, training
","['samples']
","['studying', 'training'] 
",1
"algorithms gain an understanding of the “context” of
","['gain', 'understanding “ context ”']
","[] 
",0
"human speech, writing, and other modes of
","['human speech', 'modes']
","['writing'] 
",0
"                                                            Revised Version Manuscript Received on 22 February, 2019
","['Version Manuscript', 'February']
","['Revised', 'Received'] 
",1
"Krishna Prakash Kalyanathaya, M.Phil, Research Scholar,
","['Krishna Prakash Kalyanathaya', 'M.Phil', 'Research Scholar']
","[] 
",0
"Department of Computer Science, VELS Institute of Science,  Technology & Advanced Studies, Chennai, Tamilnadu, India.
","['Department Computer Science', 'VELS Institute Science', 'Technology', 'Advanced', 'Chennai', 'Tamilnadu', 'India']
","[] 
",0
